group,time,pulserate,systolicbloodpressure,diastolicbloodpressure,quaternion,euler,acceleration
13,2019-03-09T14:20:04.612Z,123,117,68,"[0.7356982827186584, 0.24728527665138245, 0.5652294158935547, 0.27948829531669617]","[-11.346492767333984, -75.90737915039062, -32.7416877746582]","[0.0966658741235733, 0.10069502890110016, -0.9169585704803467]"
13,2019-03-09T14:20:05.619Z,123,117,69,"[0.6406039595603943, 0.3316148817539215, 0.4825323820114136, 0.4968104958534241]","[9.84997844696045, -71.39202117919922, -82.67497253417969]","[0.6499531269073486, 0.04733444005250931, -0.8446915149688721]"
13,2019-03-09T14:20:06.625Z,123,116,69,"[0.5507978200912476, 0.37482354044914246, 0.32952117919921875, 0.6689879894256592]","[3.192021608352661, -59.826133728027344, -102.905517578125]","[0.23811601102352142, 0.21059437096118927, -1.1288200616836548]"
13,2019-03-09T14:20:07.631Z,124,116,68,"[0.40155547857284546, 0.3632071018218994, 0.263855516910553, 0.7982568740844727]","[12.245326042175293, -52.35128402709961, -132.62796020507812]","[0.14456182718276978, 0.003813627175986767, -0.9647748470306396]"
13,2019-03-09T14:20:08.638Z,124,117,68,"[0.21563415229320526, 0.28518298268318176, 0.15737095475196838, 0.9205471277236938]","[11.950601577758789, -36.36435317993164, -157.57066345214844]","[0.6507475972175598, 0.06848099082708359, -1.3927342891693115]"
12,2019-03-09T13:17:57.104Z,0,0,0,"[0.9854562878608704, 0.09785053879022598, 0.12080837041139603, 0.06860461086034775]","[-10.494115829467773, -14.567997932434082, -6.619635581970215]","[0.018894873559474945, -0.013010379858314991, 0.06968997418880463]"
12,2019-03-09T13:17:58.110Z,0,0,0,"[0.9854461550712585, 0.09783594310283661, 0.12090437859296799, 0.06860211491584778]","[-10.492032051086426, -14.57890510559082, -6.618679046630859]","[0.01925100013613701, -0.011838968843221664, 0.06800819933414459]"
12,2019-03-09T13:17:59.116Z,0,0,0,"[0.9854316711425781, 0.09783539921045303, 0.12100985646247864, 0.06862375885248184]","[-10.491206169128418, -14.591256141662598, -6.620254993438721]","[0.018464811146259308, -0.012858398258686066, 0.06989818811416626]"
12,2019-03-09T13:18:00.121Z,0,0,0,"[0.985450804233551, 0.0978117287158966, 0.12087234109640121, 0.06862635910511017]","[-10.48895263671875, -14.575318336486816, -6.6221795082092285]","[0.01807020604610443, -0.013749860227108002, 0.06939523667097092]"
12,2019-03-09T13:18:01.126Z,0,0,0,"[0.9854848384857178, 0.0975489392876625, 0.1208103820681572, 0.06862032413482666]","[-10.458342552185059, -14.566370010375977, -6.625985145568848]","[0.01745128631591797, -0.012954924255609512, 0.0640767365694046]"
12,2019-03-09T13:18:02.133Z,0,0,0,"[0.9854496121406555, 0.09770966321229935, 0.12096836417913437, 0.06861890852451324]","[-10.476637840270996, -14.585590362548828, -6.621957302093506]","[0.01870933547616005, -0.01334305014461279, 0.06883154809474945]"
12,2019-03-09T13:18:03.139Z,0,0,0,"[0.9854428768157959, 0.0977296456694603, 0.12098980695009232, 0.06864974647760391]","[-10.478443145751953, -14.588515281677246, -6.625074863433838]","[0.01870129629969597, -0.012371878139674664, 0.07099229097366333]"
12,2019-03-09T13:18:04.145Z,83,90,58,"[0.9854423999786377, 0.09784820675849915, 0.12091376632452011, 0.06862226128578186]","[-10.493139266967773, -14.580280303955078, -6.620770454406738]","[0.018745195120573044, -0.013408990576863289, 0.07094147801399231]"
12,2019-03-09T13:18:05.150Z,83,90,58,"[0.9854481816291809, 0.09777969866991043, 0.12092944234609604, 0.06860913336277008]","[-10.485197067260742, -14.581483840942383, -6.620116710662842]","[0.01849488541483879, -0.014149225316941738, 0.07120656222105026]"
12,2019-03-09T13:18:06.155Z,83,89,57,"[0.9854292869567871, 0.09794073551893234, 0.12095312029123306, 0.06860820204019547]","[-10.504085540771484, -14.585274696350098, -6.61737060546875]","[0.01826167106628418, -0.013729175552725792, 0.07215438783168793]"
12,2019-03-09T13:18:07.161Z,83,88,57,"[0.9854452610015869, 0.09805769473314285, 0.12075196951627731, 0.068565733730793]","[-10.519332885742188, -14.562494277954102, -6.612491130828857]","[0.01839827373623848, -0.011118720285594463, 0.06800805777311325]"
12,2019-03-09T13:18:08.166Z,84,86,57,"[0.9853820204734802, 0.09830451011657715, 0.12102393805980682, 0.06864255666732788]","[-10.546141624450684, -14.59621524810791, -6.615273952484131]","[0.016872679814696312, -0.012470759451389313, 0.07102645933628082]"
12,2019-03-09T13:18:09.171Z,84,85,56,"[0.9847778677940369, 0.09851831197738647, 0.12068384885787964, 0.07708525657653809]","[-10.44694995880127, -14.648134231567383, -7.605194568634033]","[0.018270298838615417, -0.014112753793597221, 0.07090212404727936]"
12,2019-03-09T13:18:10.177Z,85,85,56,"[0.9844579100608826, 0.09890681505203247, 0.12032493203878403, 0.08113006502389908]","[-10.434150695800781, -14.652641296386719, -8.077130317687988]","[0.014908835291862488, -0.020790493115782738, 0.07167559862136841]"
12,2019-03-09T13:18:11.183Z,85,84,56,"[0.9840649962425232, 0.0995137095451355, 0.11982223391532898, 0.08576619625091553]","[-10.439227104187012, -14.648926734924316, -8.616571426391602]","[0.0184301920235157, -0.013789956457912922, 0.06934735924005508]"
12,2019-03-09T13:18:12.189Z,86,85,56,"[0.9840768575668335, 0.09971495717763901, 0.1195557489991188, 0.08576757460832596]","[-10.464564323425293, -14.620098114013672, -8.616009712219238]","[0.019637849181890488, -0.013415544293820858, 0.06950921565294266]"
12,2019-03-09T13:18:13.195Z,86,85,56,"[0.984093964099884, 0.09961751848459244, 0.11950656026601791, 0.08575280755758286]","[-10.453621864318848, -14.613446235656738, -8.616164207458496]","[0.016684547066688538, -0.013400924392044544, 0.06985966861248016]"
12,2019-03-09T13:18:14.204Z,86,86,57,"[0.9837523102760315, 0.10012108832597733, 0.11924920976161957, 0.08936993032693863]","[-10.460527420043945, -14.626626014709473, -9.035513877868652]","[0.018433161079883575, -0.013673938810825348, 0.07156902551651001]"
12,2019-03-09T13:18:15.210Z,86,86,57,"[0.9836649894714355, 0.1002202183008194, 0.1192304790019989, 0.09024031460285187]","[-10.459305763244629, -14.634592056274414, -9.136404037475586]","[0.01836027391254902, -0.012173849157989025, 0.06768547743558884]"
12,2019-03-09T13:18:16.213Z,86,86,57,"[0.9835779666900635, 0.10047713667154312, 0.11907953768968582, 0.09109863638877869]","[-10.477737426757812, -14.628738403320312, -9.234642028808594]","[0.019342472776770592, -0.014145007357001305, 0.0727786123752594]"
12,2019-03-09T13:18:17.219Z,85,86,57,"[0.9835878014564514, 0.10064852982759476, 0.11905042827129364, 0.0908411517739296]","[-10.50195598602295, -14.624266624450684, -9.202075004577637]","[0.016676226630806923, -0.011588380672037601, 0.0661226138472557]"
